x,z
178.000,-1.4686
179.000,-1.4509
180.000,-1.4326
181.000,-1.4139
182.000,-1.3946
183.000,-1.3749
184.000,-1.3547
185.000,-1.3341
186.000,-1.3132
187.000,-1.2919
188.000,-1.2703
189.000,-1.2484
190.000,-1.2262
191.000,-1.2037
192.000,-1.1810
193.000,-1.1581
194.000,-1.1350
195.000,-1.1117
196.000,-1.0882
197.000,-1.0645
198.000,-1.0408
199.000,-1.0169
200.000,-0.9928
201.000,-0.9687
202.000,-0.9445
203.000,-0.9202
204.000,-0.8958
205.000,-0.8713
206.000,-0.8468
207.000,-0.8222
208.000,-0.7976
209.000,-0.7729
210.000,-0.7482
211.000,-0.7234
212.000,-0.6986
213.000,-0.6738
214.000,-0.6490
215.000,-0.6241
216.000,-0.5992
217.000,-0.5744
218.000,-0.5494
219.000,-0.5245
220.000,-0.4996
221.000,-0.4747
222.000,-0.4497
223.000,-0.4248
224.000,-0.3998
225.000,-0.3748
226.000,-0.3499
227.000,-0.3249
228.000,-0.2999
229.000,-0.2749
230.000,-0.2499
231.000,-0.2249
232.000,-0.1999
233.000,-0.1750
234.000,-0.1500
235.000,-0.1250
236.000,-0.1000
237.000,-0.0750
238.000,-0.0500
239.000,-0.0250
240.000,0.0000
241.000,0.0250
242.000,0.0500
243.000,0.0750
244.000,0.1000
245.000,0.1250
246.000,0.1500
247.000,0.1750
248.000,0.2000
249.000,0.2250
250.000,0.2500
251.000,0.2750
252.000,0.3000
253.000,0.3250
254.000,0.3500
255.000,0.3750
256.000,0.4000
257.000,0.4250
258.000,0.4500
259.000,0.4750
260.000,0.5000
261.000,0.5250
262.000,0.5500
263.000,0.5750
264.000,0.6000
265.000,0.6250
266.000,0.6500
267.000,0.6750
268.000,0.7000
269.000,0.7250
270.000,0.7500
271.000,0.7750
272.000,0.8000
273.000,0.8250
274.000,0.8500
275.000,0.8750
276.000,0.9000
277.000,0.9250
278.000,0.9500
279.000,0.9750
280.000,1.0000
281.000,1.0250
282.000,1.0500
283.000,1.0750
284.000,1.1000
285.000,1.1250
286.000,1.1500
287.000,1.1750
288.000,1.2000
289.000,1.2250
290.000,1.2500
291.000,1.2750
292.000,1.3000
293.000,1.3250
294.000,1.3500
295.000,1.3750
296.000,1.4000
297.000,1.4250
298.000,1.4500
299.000,1.4750
300.000,1.5000
301.000,1.5250
302.000,1.5500
303.000,1.5750
304.000,1.6000
305.000,1.6250
306.000,1.6500
307.000,1.6750
308.000,1.7000
309.000,1.7250
310.000,1.7500
311.000,1.7750
312.000,1.8000
313.000,1.8250
314.000,1.8500
315.000,1.8750
316.000,1.9000
317.000,1.9250
318.000,1.9500
319.000,1.9750
320.000,2.0000
321.000,2.0250
322.000,2.0500
323.000,2.0750
324.000,2.1000
325.000,2.1250
326.000,2.1500
327.000,2.1750
328.000,2.2000
329.000,2.2250
330.000,2.2500
331.000,2.2750
332.000,2.3000
333.000,2.3250
334.000,2.3500
335.000,2.3750
336.000,2.4000
337.000,2.4250
338.000,2.4500
339.000,2.4750
340.000,2.5000
341.000,2.5250
342.000,2.5500
343.000,2.5750
344.000,2.6000
345.000,2.6250
346.000,2.6500
347.000,2.6750
348.000,2.7000
349.000,2.7250
350.000,2.7500
351.000,2.7750
352.000,2.8000
353.000,2.8250
354.000,2.8500
355.000,2.8750
356.000,2.9000
357.000,2.9250
358.000,2.9500
359.000,2.9750
360.000,3.0000
361.000,3.0250
362.000,3.0500
363.000,3.0750
364.000,3.1000
365.000,3.1250
366.000,3.1500
367.000,3.1750
368.000,3.2000
369.000,3.2250
370.000,3.2500
371.000,3.2750
372.000,3.3000
373.000,3.3250
374.000,3.3500
375.000,3.3750
376.000,3.4000
377.000,3.4250
378.000,3.4500
379.000,3.4750
380.000,3.5000
381.000,3.5250
382.000,3.5500
383.000,3.5750
384.000,3.6000
385.000,3.6250
386.000,3.6500
387.000,3.6750
388.000,3.7000
389.000,3.7250
390.000,3.7500
391.000,3.7750
392.000,3.8000
393.000,3.8250
394.000,3.8500
395.000,3.8750
396.000,3.9000
397.000,3.9250
398.000,3.9500
399.000,3.9750
400.000,4.0000
