x,z
102.000,-2.9000
103.000,-2.8500
104.000,-2.8000
105.000,-2.7500
106.000,-2.7000
107.000,-2.6500
108.000,-2.6000
109.000,-2.5500
110.000,-2.5000
111.000,-2.4500
112.000,-2.4000
113.000,-2.3500
114.000,-2.3000
115.000,-2.2500
116.000,-2.2000
117.000,-2.1500
118.000,-2.1000
119.000,-2.0500
120.000,-2.0000
121.000,-1.9500
122.000,-1.9000
123.000,-1.8500
124.000,-1.8000
125.000,-1.7500
126.000,-1.7000
127.000,-1.6500
128.000,-1.6000
129.000,-1.5500
130.000,-1.5000
131.000,-1.4500
132.000,-1.4000
133.000,-1.3500
134.000,-1.3000
135.000,-1.2500
136.000,-1.2000
137.000,-1.1500
138.000,-1.1000
139.000,-1.0500
140.000,-1.0000
141.000,-0.9500
142.000,-0.9000
143.000,-0.8500
144.000,-0.8000
145.000,-0.7500
146.000,-0.7000
147.000,-0.6500
148.000,-0.6000
149.000,-0.5500
150.000,-0.5000
151.000,-0.4500
152.000,-0.4000
153.000,-0.3500
154.000,-0.3000
155.000,-0.2500
156.000,-0.2000
157.000,-0.1500
158.000,-0.1000
159.000,-0.0500
160.000,0.0000
161.000,0.0500
162.000,0.1000
163.000,0.1500
164.000,0.2000
165.000,0.2500
166.000,0.3000
167.000,0.3500
168.000,0.4000
169.000,0.4500
170.000,0.5000
171.000,0.5500
172.000,0.6000
173.000,0.6500
174.000,0.7000
175.000,0.7500
176.000,0.8000
177.000,0.8500
178.000,0.9000
179.000,0.9500
180.000,1.0000
181.000,1.0500
182.000,1.1000
183.000,1.1500
184.000,1.2000
185.000,1.2500
186.000,1.3000
187.000,1.3500
188.000,1.4000
189.000,1.4500
190.000,1.5000
191.000,1.5500
192.000,1.6000
193.000,1.6500
194.000,1.7000
195.000,1.7500
196.000,1.8000
197.000,1.8500
198.000,1.9000
199.000,1.9500
200.000,2.0000
201.000,2.0500
202.000,2.1000
203.000,2.1500
204.000,2.2000
205.000,2.2500
206.000,2.3000
207.000,2.3500
208.000,2.4000
209.000,2.4500
210.000,2.5000
211.000,2.5500
212.000,2.6000
213.000,2.6500
214.000,2.7000
215.000,2.7500
216.000,2.8000
217.000,2.8500
218.000,2.9000
219.000,2.9500
220.000,3.0000
221.000,3.0500
222.000,3.1000
223.000,3.1500
224.000,3.2000
225.000,3.2500
226.000,3.3000
227.000,3.3500
228.000,3.4000
229.000,3.4500
230.000,3.5000
231.000,3.5500
232.000,3.6000
233.000,3.6500
234.000,3.7000
235.000,3.7500
236.000,3.8000
237.000,3.8500
238.000,3.9000
239.000,3.9500
240.000,4.0000
241.000,4.0500
242.000,4.1000
243.000,4.1500
244.000,4.2000
245.000,4.2500
246.000,4.3000
247.000,4.3500
248.000,4.4000
249.000,4.4500
250.000,4.5000
251.000,4.5500
252.000,4.6000
253.000,4.6500
254.000,4.7000
255.000,4.7500
256.000,4.8000
257.000,4.8500
258.000,4.9000
259.000,4.9500
260.000,5.0000
261.000,5.0500
262.000,5.1000
263.000,5.1500
264.000,5.2000
265.000,5.2500
266.000,5.3000
267.000,5.3500
268.000,5.4000
269.000,5.4500
270.000,5.5000
271.000,5.5500
272.000,5.6000
273.000,5.6500
274.000,5.7000
275.000,5.7500
276.000,5.8000
277.000,5.8500
278.000,5.9000
279.000,5.9500
280.000,6.0000
281.000,6.0500
282.000,6.1000
283.000,6.1500
284.000,6.2000
285.000,6.2500
286.000,6.3000
287.000,6.3500
288.000,6.4000
289.000,6.4500
290.000,6.5000
291.000,6.5500
292.000,6.6000
293.000,6.6500
294.000,6.7000
295.000,6.7500
296.000,6.8000
297.000,6.8500
298.000,6.9000
299.000,6.9500
300.000,7.0000
