x,z
184.000,-0.6004
185.000,-0.5531
186.000,-0.5045
187.000,-0.4545
188.000,-0.4030
189.000,-0.3497
190.000,-0.2945
191.000,-0.2370
192.000,-0.1772
193.000,-0.1146
194.000,-0.0491
195.000,0.0197
196.000,0.0920
197.000,0.1682
198.000,0.2486
199.000,0.3336
200.000,0.4233
201.000,0.5182
202.000,0.6185
203.000,0.7246
204.000,0.8367
205.000,0.9550
206.000,1.0799
207.000,1.2114
208.000,1.3496
209.000,1.4948
210.000,1.6468
211.000,1.8056
212.000,1.9712
213.000,2.1433
214.000,2.3216
215.000,2.5059
216.000,2.6956
217.000,2.8902
218.000,3.0891
219.000,3.2917
220.000,3.4970
221.000,3.7043
222.000,3.9127
223.000,4.1210
224.000,4.3282
225.000,4.5332
226.000,4.7350
227.000,4.9322
228.000,5.1237
229.000,5.3083
230.000,5.4850
231.000,5.6525
232.000,5.8098
233.000,5.9559
234.000,6.0898
235.000,6.2108
236.000,6.3181
237.000,6.4110
238.000,6.4892
239.000,6.5523
240.000,6.6000
241.000,6.6323
242.000,6.6492
243.000,6.6510
244.000,6.6381
245.000,6.6108
246.000,6.5698
247.000,6.5159
248.000,6.4498
249.000,6.3725
250.000,6.2850
251.000,6.1883
252.000,6.0837
253.000,5.9722
254.000,5.8550
255.000,5.7332
256.000,5.6082
257.000,5.4810
258.000,5.3527
259.000,5.2243
260.000,5.0970
261.000,4.9717
262.000,4.8491
263.000,4.7302
264.000,4.6156
265.000,4.5059
266.000,4.4016
267.000,4.3033
268.000,4.2112
269.000,4.1256
270.000,4.0468
271.000,3.9748
272.000,3.9096
273.000,3.8514
274.000,3.7999
275.000,3.7550
276.000,3.7167
277.000,3.6846
278.000,3.6585
279.000,3.6382
280.000,3.6233
281.000,3.6136
282.000,3.6086
283.000,3.6082
284.000,3.6120
285.000,3.6197
286.000,3.6309
287.000,3.6454
288.000,3.6628
289.000,3.6830
290.000,3.7055
291.000,3.7303
292.000,3.7570
293.000,3.7855
294.000,3.8155
295.000,3.8469
296.000,3.8796
297.000,3.9132
298.000,3.9478
299.000,3.9832
300.000,4.0193
301.000,4.0560
302.000,4.0933
303.000,4.1309
304.000,4.1690
305.000,4.2074
306.000,4.2460
307.000,4.2849
308.000,4.3240
309.000,4.3632
310.000,4.4026
311.000,4.4421
312.000,4.4817
313.000,4.5213
314.000,4.5611
315.000,4.6008
316.000,4.6407
317.000,4.6805
318.000,4.7204
319.000,4.7603
320.000,4.8003
321.000,4.8402
322.000,4.8802
323.000,4.9201
324.000,4.9601
325.000,5.0001
326.000,5.0401
327.000,5.0800
328.000,5.1200
329.000,5.1600
330.000,5.2000
331.000,5.2400
332.000,5.2800
333.000,5.3200
334.000,5.3600
335.000,5.4000
336.000,5.4400
337.000,5.4800
338.000,5.5200
339.000,5.5600
340.000,5.6000
341.000,5.6400
342.000,5.6800
343.000,5.7200
344.000,5.7600
345.000,5.8000
346.000,5.8400
347.000,5.8800
348.000,5.9200
349.000,5.9600
350.000,6.0000
