time,hrms,tp,swl
1126800,0.987,7.490,0.7136
1130400,0.987,7.490,0.7358
1134000,0.987,7.491,0.5731
1137600,0.987,7.491,0.2655
1141200,0.988,7.491,-0.1107
1144800,0.988,7.491,-0.4613
1148400,0.988,7.491,-0.6979
1152000,0.988,7.491,-0.7605
1155600,0.988,7.491,-0.6323
1159200,0.988,7.491,-0.3446
1162800,0.988,7.491,0.0311
1166400,0.988,7.491,0.4009
1170000,0.988,7.491,0.6717
1173600,0.988,7.491,0.7750
1177200,0.988,7.491,0.6842
1180800,0.988,7.491,0.4211
1184400,0.988,7.491,0.0513
1188000,0.988,7.491,-0.3329
1191600,0.988,7.491,-0.6350
1195200,0.988,7.491,-0.7788
1198800,0.989,7.491,-0.7276
1202400,0.989,7.491,-0.4936
1206000,0.989,7.491,-0.1349
1209600,0.989,7.491,0.2587
1213200,0.989,7.492,0.5885
1216800,0.989,7.492,0.7716
1220400,0.989,7.492,0.7615
1224000,0.989,7.492,0.5603
1227600,0.989,7.492,0.2182
1231200,0.989,7.492,-0.1795
1234800,0.989,7.492,-0.5328
1238400,0.989,7.492,-0.7532
1242000,0.989,7.492,-0.7851
1245600,0.989,7.492,-0.6201
1249200,0.989,7.492,-0.2994
1252800,0.989,7.492,0.0967
1256400,0.989,7.492,0.4690
1260000,0.989,7.492,0.7240
1263600,0.990,7.492,0.7978
1267200,0.990,7.492,0.6715
1270800,0.990,7.492,0.3770
1274400,0.990,7.492,-0.0121
1278000,0.990,7.492,-0.3982
1281600,0.990,7.492,-0.6845
1285200,0.990,7.492,-0.7992
1288800,0.990,7.492,-0.7136
1292400,0.990,7.492,-0.4493
1296000,0.990,7.493,-0.0727
1299600,0.990,7.493,0.3219
1303200,0.990,7.493,0.6354
1306800,0.990,7.493,0.7894
1310400,0.990,7.493,0.7456
1314000,0.990,7.493,0.5151
1317600,0.990,7.493,0.1560
1321200,0.990,7.493,-0.2415
1324800,0.990,7.493,-0.5777
1328400,0.991,7.493,-0.7687
1332000,0.991,7.493,-0.7668
1335600,0.991,7.493,-0.5730
1339200,0.991,7.493,-0.2363
1342800,0.991,7.493,0.1586
1346400,0.991,7.493,0.5127
1350000,0.991,7.493,0.7374
1353600,0.991,7.493,0.7769
1357200,0.991,7.493,0.6219
1360800,0.991,7.493,0.3119
1364400,0.991,7.493,-0.0750
1368000,0.991,7.493,-0.4417
1371600,0.991,7.493,-0.6964
1375200,0.991,7.493,-0.7760
1378800,0.991,7.493,-0.6611
1382400,0.991,7.493,-0.3815
1386000,0.991,7.494,-0.0078
1389600,0.991,7.494,0.3661
1393200,0.991,7.494,0.6467
1396800,0.992,7.494,0.7642
1400400,0.992,7.494,0.6901
1404000,0.992,7.494,0.4439
1407600,0.992,7.494,0.0882
1411200,0.992,7.494,-0.2876
1414800,0.992,7.494,-0.5894
1418400,0.992,7.494,-0.7421
1422000,0.992,7.494,-0.7085
1425600,0.992,7.494,-0.4981
1429200,0.992,7.494,-0.1647
1432800,0.992,7.494,0.2078
1436400,0.992,7.494,0.5259
1440000,0.992,7.494,0.7105
1443600,0.992,7.494,0.7164
1447200,0.992,7.494,0.5433
1450800,0.992,7.494,0.2359
1454400,0.992,7.494,-0.1282
1458000,0.992,7.494,-0.4576
1461600,0.992,7.494,-0.6702
1465200,0.992,7.494,-0.7139
1468800,0.993,7.494,-0.5791
1472400,0.993,7.494,-0.3008
1476000,0.993,7.494,0.0503
1479600,0.993,7.494,0.3859
1483200,0.993,7.495,0.6224
1486800,0.993,7.495,0.7016
1490400,0.993,7.495,0.6050
1494000,0.993,7.495,0.3584
1497600,0.993,7.495,0.0245
1501200,0.993,7.495,-0.3125
1504800,0.993,7.495,-0.5684
1508400,0.993,7.495,-0.6802
1512000,0.993,7.495,-0.6213
1515600,0.993,7.495,-0.4080
1519200,0.993,7.495,-0.0950
1522800,0.993,7.495,0.2386
1526400,0.993,7.495,0.5094
1530000,0.993,7.495,0.6505
1533600,0.993,7.495,0.6280
1537200,0.993,7.495,0.4492
1540800,0.993,7.495,0.1602
1544400,0.993,7.495,-0.1657
1548000,0.994,7.495,-0.4469
1551600,0.994,7.495,-0.6137
1555200,0.994,7.495,-0.6257
1558800,0.994,7.495,-0.4817
1562400,0.994,7.495,-0.2192
1566000,0.994,7.495,0.0950
1569600,0.994,7.495,0.3821
1573200,0.994,7.495,0.5707
1576800,0.994,7.495,0.6151
1580400,0.994,7.495,0.5056
1584000,0.994,7.495,0.2714
1587600,0.994,7.496,-0.0276
1591200,0.994,7.496,-0.3164
1594800,0.994,7.496,-0.5229
1598400,0.994,7.496,-0.5968
1602000,0.994,7.496,-0.5211
1605600,0.994,7.496,-0.3165
1609200,0.994,7.496,-0.0356
1612800,0.994,7.496,0.2509
1616400,0.994,7.496,0.4714
1620000,0.994,7.496,0.5719
1623600,0.994,7.496,0.5287
1627200,0.994,7.496,0.3543
1630800,0.995,7.496,0.0939
1634400,0.995,7.496,-0.1867
1638000,0.995,7.496,-0.4174
1641600,0.995,7.496,-0.5413
1645200,0.995,7.496,-0.5289
1648800,0.995,7.496,-0.3849
1652400,0.995,7.496,-0.1469
1656000,0.995,7.496,0.1248
1659600,0.995,7.496,0.3619
1663200,0.995,7.496,0.5061
1666800,0.995,7.496,0.5224
1670400,0.995,7.496,0.4084
1674000,0.995,7.496,0.1942
1677600,0.995,7.496,-0.0657
1681200,0.995,7.496,-0.3060
1684800,0.995,7.496,-0.4672
1688400,0.995,7.496,-0.5100
1692000,0.995,7.496,-0.4253
1695600,0.995,7.496,-0.2358
1699200,0.995,7.496,0.0102
1702800,0.995,7.496,0.2505
1706400,0.995,7.497,0.4256
1710000,0.995,7.497,0.4926
1713600,0.995,7.497,0.4361
1717200,0.995,7.497,0.2717
1720800,0.995,7.497,0.0416
1724400,0.996,7.497,-0.1961
1728000,0.996,7.497,-0.3822
1731600,0.996,7.497,-0.4709
1735200,0.996,7.497,-0.4413
1738800,0.996,7.497,-0.3021
1742400,0.996,7.497,-0.0893
1746000,0.996,7.497,0.1434
1749600,0.996,7.497,0.3378
1753200,0.996,7.497,0.4458
1756800,0.996,7.497,0.4417
1760400,0.996,7.497,0.3275
1764000,0.996,7.497,0.1330
1767600,0.996,7.497,-0.0926
1771200,0.996,7.497,-0.2929
1774800,0.996,7.497,-0.4180
1778400,0.996,7.497,-0.4378
1782000,0.996,7.497,-0.3482
1785600,0.996,7.497,-0.1728
1789200,0.996,7.497,0.0441
1792800,0.996,7.497,0.2480
1796400,0.996,7.497,0.3881
1800000,0.996,7.497,0.4303
1803600,0.996,7.497,0.3648
1807200,0.996,7.497,0.2089
1810800,0.996,7.497,0.0022
1814400,0.996,7.497,-0.2034
1818000,0.996,7.497,-0.3566
1821600,0.996,7.497,-0.4197
1825200,0.997,7.497,-0.3776
1828800,0.997,7.497,-0.2416
1832400,0.997,7.497,-0.0462
1836000,0.997,7.497,0.1594
1839600,0.997,7.497,0.3239
1843200,0.997,7.497,0.4065
1846800,0.997,7.498,0.3872
1850400,0.997,7.498,0.2713
1854000,0.997,7.498,0.0882
1857600,0.997,7.498,-0.1159
1861200,0.997,7.498,-0.2902
1864800,0.997,7.498,-0.3911
1868400,0.997,7.498,-0.3939
1872000,0.997,7.498,-0.2983
1875600,0.997,7.498,-0.1284
1879200,0.997,7.498,0.0730
1882800,0.997,7.498,0.2555
1886400,0.997,7.498,0.3737
1890000,0.997,7.498,0.3981
1893600,0.997,7.498,0.3229
1897200,0.997,7.498,0.1670
1900800,0.997,7.498,-0.0304
1904400,0.997,7.498,-0.2199
1908000,0.997,7.498,-0.3543
1911600,0.997,7.498,-0.3999
1915200,0.997,7.498,-0.3454
1918800,0.997,7.498,-0.2044
1922400,0.997,7.498,-0.0121
1926000,0.997,7.498,0.1833
1929600,0.997,7.498,0.3330
1933200,0.997,7.498,0.3995
1936800,0.997,7.498,0.3660
1940400,0.997,7.498,0.2407
1944000,0.998,7.498,0.0548
1947600,0.998,7.498,-0.1454
1951200,0.998,7.498,-0.3096
1954800,0.998,7.498,-0.3967
1958400,0.998,7.498,-0.3847
1962000,0.998,7.498,-0.2760
1965600,0.998,7.498,-0.0977
1969200,0.998,7.498,0.1059
1972800,0.998,7.498,0.2839
1976400,0.998,7.498,0.3915
1980000,0.998,7.498,0.4014
1983600,0.998,7.498,0.3105
1987200,0.998,7.498,0.1412
1990800,0.998,7.498,-0.0647
1994400,0.998,7.498,-0.2556
1998000,0.998,7.498,-0.3835
2001600,0.998,7.498,-0.4160
2005200,0.998,7.498,-0.3441
2008800,0.998,7.498,-0.1853
2012400,0.998,7.499,0.0214
2016000,0.998,7.499,0.2243
2019600,0.998,7.499,0.3724
2023200,0.998,7.499,0.4281
2026800,0.998,7.499,0.3766
2030400,0.998,7.499,0.2300
2034000,0.998,7.499,0.0241
2037600,0.998,7.499,-0.1897
2041200,0.998,7.499,-0.3577
2044800,0.998,7.499,-0.4373
2048400,0.998,7.499,-0.4077
2052000,0.998,7.499,-0.2751
2055600,0.998,7.499,-0.0720
2059200,0.998,7.499,0.1514
2062800,0.998,7.499,0.3389
2066400,0.998,7.499,0.4431
2070000,0.998,7.499,0.4369
2073600,0.998,7.499,0.3205
2077200,0.998,7.499,0.1221
2080800,0.998,7.499,-0.1092
2084400,0.998,7.499,-0.3156
2088000,0.999,7.499,-0.4449
2091600,0.999,7.499,-0.4635
2095200,0.999,7.499,-0.3656
2098800,0.999,7.499,-0.1744
2102400,0.999,7.499,0.0630
2106000,0.999,7.499,0.2873
2109600,0.999,7.499,0.4420
2113200,0.999,7.499,0.4871
2116800,0.999,7.499,0.4100
2120400,0.999,7.499,0.2287
2124000,0.999,7.499,-0.0125
2127600,0.999,7.499,-0.2535
2131200,0.999,7.499,-0.4335
2134800,0.999,7.499,-0.5065
2138400,0.999,7.499,-0.4527
2142000,0.999,7.499,-0.2840
2145600,0.999,7.499,-0.0416
2149200,0.999,7.499,0.2144
2152800,0.999,7.500,0.4197
2156400,0.999,7.500,0.5217
2160000,1.000,7.500,0.4936
2163600,1.000,7.500,0.3408
2167200,1.000,7.500,0.1002
2170800,1.000,7.500,-0.1685
2174400,1.000,7.500,-0.3981
2178000,1.000,7.500,-0.5299
2181600,1.000,7.500,-0.5297
2185200,1.001,7.501,-0.3957
2188800,1.001,7.501,-0.1600
2192400,1.001,7.501,0.1192
2196000,1.001,7.501,0.3721
2199600,1.002,7.501,0.5347
2203200,1.002,7.502,0.5648
2206800,1.003,7.502,0.4534
2210400,1.003,7.502,0.2267
2214000,1.004,7.503,-0.0594
2217600,1.004,7.503,-0.3335
2221200,1.005,7.504,-0.5261
2224800,1.005,7.504,-0.5878
2228400,1.006,7.505,-0.5012
2232000,1.007,7.505,-0.2863
2235600,1.008,7.506,0.0043
2239200,1.009,7.507,0.2984
2242800,1.010,7.507,0.5220
2246400,1.011,7.508,0.6181
2250000,1.013,7.509,0.5610
2253600,1.014,7.511,0.3637
2257200,1.016,7.512,0.0743
2260800,1.018,7.513,-0.2349
2264400,1.019,7.515,-0.4861
2268000,1.022,7.516,-0.6149
2271600,1.024,7.518,-0.5874
2275200,1.026,7.520,-0.4084
2278800,1.029,7.522,-0.1210
2282400,1.032,7.524,0.2038
2286000,1.036,7.526,0.4850
2289600,1.039,7.529,0.6517
2293200,1.043,7.532,0.6611
2296800,1.047,7.535,0.5097
2300400,1.052,7.538,0.2345
2304000,1.057,7.542,-0.0958
2307600,1.062,7.546,-0.3979
2311200,1.068,7.550,-0.5947
2314800,1.074,7.554,-0.6350
2318400,1.080,7.559,-0.5062
2322000,1.087,7.564,-0.2383
2325600,1.095,7.570,0.1033
2329200,1.103,7.575,0.4344
2332800,1.112,7.582,0.6725
2336400,1.121,7.588,0.7578
2340000,1.131,7.595,0.6687
2343600,1.142,7.603,0.4273
2347200,1.153,7.611,0.0945
2350800,1.165,7.619,-0.2454
2354400,1.178,7.628,-0.5053
2358000,1.191,7.637,-0.6175
2361600,1.205,7.647,-0.5508
2365200,1.220,7.657,-0.3188
2368800,1.236,7.668,0.0232
2372400,1.253,7.679,0.3922
2376000,1.270,7.691,0.6976
2379600,1.289,7.703,0.8641
2383200,1.308,7.716,0.8513
2386800,1.329,7.729,0.6636
2390400,1.350,7.743,0.3494
2394000,1.372,7.757,-0.0104
2397600,1.396,7.772,-0.3227
2401200,1.420,7.787,-0.5058
2404800,1.445,7.803,-0.5097
2408400,1.471,7.819,-0.3291
2412000,1.499,7.836,-0.0050
2415600,1.527,7.853,0.3854
2419200,1.556,7.871,0.7478
2422800,1.586,7.889,0.9946
2426400,1.617,7.908,1.0670
2430000,1.649,7.926,0.9495
2433600,1.682,7.945,0.6748
2437200,1.716,7.965,0.3152
2440800,1.751,7.985,-0.0350
2444400,1.786,8.005,-0.2836
2448000,1.822,8.025,-0.3631
2451600,1.859,8.045,-0.2482
2455200,1.897,8.066,0.0376
2458800,1.935,8.086,0.4280
2462400,1.973,8.107,0.8301
2466000,2.013,8.128,1.1477
2469600,2.052,8.149,1.3056
2473200,2.092,8.170,1.2685
2476800,2.132,8.190,1.0500
2480400,2.173,8.211,0.7093
2484000,2.213,8.231,0.3367
2487600,2.253,8.252,0.0307
2491200,2.294,8.272,-0.1268
2494800,2.334,8.292,-0.0906
2498400,2.374,8.311,0.1355
2502000,2.413,8.330,0.5002
2505600,2.452,8.351,0.9172
2509200,2.491,8.572,1.2869
2512800,2.528,8.789,1.5210
2516400,2.565,9.001,1.5653
2520000,2.601,9.208,1.4129
2523600,2.637,9.410,1.1063
2527200,2.671,9.606,0.7265
2530800,2.703,9.794,0.3730
2534400,2.735,9.975,0.1385
2538000,2.765,10.149,0.0858
2541600,2.794,10.314,0.2320
2545200,2.821,10.469,0.5442
2548800,2.846,10.616,0.9474
2552400,2.870,10.752,1.3437
2556000,2.892,10.879,1.6367
2559600,2.912,10.994,1.7557
2563200,2.930,11.098,1.6732
2566800,2.946,11.191,1.4125
2570400,2.960,11.272,1.0408
2574000,2.972,11.341,0.6532
2577600,2.982,11.398,0.3483
2581200,2.990,11.443,0.2037
2584800,2.996,11.474,0.2563
2588400,2.999,11.494,0.4934
2592000,3.000,11.500,0.8558
2595600,2.999,11.494,1.2525
2599200,2.996,11.474,1.5840
2602800,2.990,11.443,1.7670
2606400,2.982,11.398,1.7552
2610000,2.972,11.341,1.5512
2613600,2.960,11.272,1.2051
2617200,2.946,11.191,0.8027
2620800,2.930,11.098,0.4430
2624400,2.912,10.994,0.2140
2628000,2.892,10.879,0.1703
2631600,2.870,10.752,0.3199
2635200,2.846,10.616,0.6219
2638800,2.821,10.469,0.9973
2642400,2.794,10.314,1.3486
2646000,2.765,10.149,1.5848
2649600,2.735,9.975,1.6436
2653200,2.703,9.794,1.5073
2656800,2.671,9.606,1.2070
2660400,2.637,9.410,0.8144
2664000,2.601,9.208,0.4240
2667600,2.565,9.001,0.1290
2671200,2.528,8.789,-0.0016
2674800,2.491,8.572,0.0594
2678400,2.452,8.351,0.2911
2682000,2.413,8.330,0.6298
2685600,2.374,8.311,0.9855
2689200,2.334,8.292,1.2643
2692800,2.294,8.272,1.3919
2696400,2.253,8.252,1.3325
2700000,2.213,8.231,1.0969
2703600,2.173,8.211,0.7402
2707200,2.132,8.190,0.3472
2710800,2.092,8.170,0.0115
2714400,2.052,8.149,-0.1885
2718000,2.013,8.128,-0.2086
2721600,1.973,8.107,-0.0500
2725200,1.935,8.086,0.2416
2728800,1.897,8.066,0.5876
2732400,1.859,8.045,0.8964
2736000,1.822,8.025,1.0866
2739600,1.786,8.005,1.1068
2743200,1.751,7.985,0.9490
2746800,1.716,7.965,0.6495
2750400,1.682,7.945,0.2799
2754000,1.649,7.926,-0.0710
2757600,1.617,7.908,-0.3200
2761200,1.586,7.889,-0.4097
2764800,1.556,7.871,-0.3229
2768400,1.527,7.853,-0.0866
2772000,1.499,7.836,0.2353
2775600,1.471,7.819,0.5582
2779200,1.445,7.803,0.7981
2782800,1.420,7.787,0.8926
2786400,1.396,7.772,0.8163
2790000,1.372,7.757,0.5870
2793600,1.350,7.743,0.2602
2797200,1.329,7.729,-0.0842
2800800,1.308,7.716,-0.3628
2804400,1.289,7.703,-0.5094
2808000,1.270,7.691,-0.4911
2811600,1.253,7.679,-0.3164
2815200,1.236,7.668,-0.0328
2818800,1.220,7.657,0.2859
2822400,1.205,7.647,0.5578
2826000,1.191,7.637,0.7137
2829600,1.178,7.628,0.7142
2833200,1.165,7.619,0.5592
2836800,1.153,7.611,0.2874
2840400,1.142,7.603,-0.0337
2844000,1.131,7.595,-0.3249
2847600,1.121,7.588,-0.5152
2851200,1.112,7.582,-0.5596
2854800,1.103,7.575,-0.4498
2858400,1.095,7.570,-0.2161
2862000,1.087,7.564,0.0809
2865600,1.080,7.559,0.3655
2869200,1.074,7.554,0.5660
2872800,1.068,7.550,0.6325
2876400,1.062,7.546,0.5494
2880000,1.057,7.542,0.3384
2883600,1.052,7.538,0.0529
2887200,1.047,7.535,-0.2357
2890800,1.043,7.532,-0.4561
2894400,1.039,7.529,-0.5546
2898000,1.036,7.526,-0.5088
2901600,1.032,7.524,-0.3322
2905200,1.029,7.522,-0.0708
2908800,1.026,7.520,0.2089
2912400,1.024,7.518,0.4365
2916000,1.022,7.516,0.5558
2919600,1.019,7.515,0.5381
2923200,1.018,7.513,0.3891
2926800,1.016,7.512,0.1475
2930400,1.014,7.511,-0.1258
2934000,1.013,7.509,-0.3624
